Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PLAG,Planet Green Holdings Corp. Common Stock,$1.36,0.06,4.615%,39181505.00,China,,29858,Consumer Non-Durables,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$3.04,0.06,2.013%,226472932.00,Canada,,372441,Basic Industries,Precious Metals
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$3.08,-0.12,-3.75%,310702146.00,Canada,,100714,Basic Industries,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.61,0.11,7.333%,73346202.00,Israel,,561250,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$26.60,-0.1668,-0.623%,,United States,,800,,
PRK,Park National Corporation Common Stock,$119.61,-1.64,-1.353%,1954034242.00,United States,,23735,Finance,Major Banks
PTK,PTK Acquisition Corp. Common Stock,$9.89,0.01,0.101%,126531285.00,United States,2020,32047,Finance,Finance: Consumer Services
PTN,Palatin Technologies Inc. Common Stock,$0.4971,-0.0065,-1.291%,114357701.00,United States,,669942,Health Care,Major Pharmaceuticals
PW,Power REIT (MD) Common Stock,$39.7507,2.8907,7.842%,132069037.00,United States,,22592,Consumer Services,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$26.37,0.00,0.00%,,United States,,25,,
PZG,Paramount Gold Nevada Corp. Common Stock,$0.851,-0.0168,-1.936%,32079653.00,United States,2015,23741,Basic Industries,Precious Metals
RCG,RENN Fund Inc Common Stock,$2.16,-0.02,-0.917%,12856223.00,United States,,13594,Finance,Investment Managers
REI,Ring Energy Inc. Common Stock,$2.55,-0.06,-2.299%,253153639.00,United States,,1483876,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$19.10,-0.17,-0.882%,376044391.00,United States,,32357,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$8.43,0.16,1.935%,14965096.00,,2017,45724,Health Care,Hospital/Nursing Management
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$5.9482,0.0482,0.817%,,,,221,,
RLGT,Radiant Logistics Inc. Common Stock,$6.12,-0.16,-2.548%,306731181.00,United States,,72073,Transportation,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$3.33,-0.02,-0.597%,18520265.00,,2018,769144,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$13.45,0.72,5.656%,457355199.00,United States,,608936,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$25.43,0.07,0.276%,0.00,United States,2019,922,Consumer Services,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$5.00,0.04,0.806%,133202660.00,United States,2017,132754,Consumer Services,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$25.445,-0.0542,-0.213%,,United States,,4355,,
SBEV,Splash Beverage Group Inc. Common Stock,$3.38,0.02,0.595%,103048183.00,,2021,99101,Health Care,Medical/Nursing Services
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.6922,0.0022,0.009%,0.00,United States,2019,715,Consumer Services,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$26.04,0.04,0.154%,0.00,United States,2020,460,Consumer Services,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$0.7529,-0.0071,-0.934%,19397871.00,,2014,45321,Energy,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$4056.00,95.01,2.399%,4708119624.00,United States,1996,912,Finance,Investment Bankers/Brokers/Service
SENS,Senseonics Holdings Inc. Common Stock,$3.25,0.03,0.932%,1391234637.00,United States,,13399788,Health Care,Medical Specialities
SIF,SIFCO Industries Inc. Common Stock,$10.18,-0.5626,-5.237%,60969333.00,United States,,17083,Capital Goods,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,$7.83,-0.47,-5.663%,1131105858.00,,2018,1038131,Capital Goods,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$24.07,0.06,0.25%,3713033964.00,Mexico,1993,654,Basic Industries,Aluminum
SLI,Standard Lithium Ltd. Common Shares,$7.91,0.58,7.913%,1110197791.00,,2021,1226543,,
SMTS,Sierra Metals Inc. Common Stock,$2.94,-0.18,-5.769%,480478761.00,,,362399,Basic Industries,Precious Metals
SNMP,Evolve Transition Infrastructure LP Common Stock,$1.61,0.09,5.921%,90458459.00,United States,,5322383,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$2.73,-0.04,-1.444%,18891745.00,United States,,88324,Health Care,Medical/Nursing Services
STXS,Stereotaxis Inc. Common Stock,$9.08,0.08,0.889%,672954839.00,United States,,203222,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$4.37,-0.29,-6.223%,768605258.00,,,1880594,Basic Industries,Precious Metals
SVT,Servotronics Inc. Common Stock,$9.50,0.1569,1.679%,23545817.00,United States,,5459,Consumer Durables,Metal Fabrications
SYN,Synthetic Biologics Inc. Common Stock,$0.5188,0.019,3.802%,68503669.00,United States,,1635539,Health Care,Major Pharmaceuticals
TGB,Taseko Mines Ltd. Common Stock,$1.71,-0.05,-2.841%,485419737.00,Canada,,913738,Basic Industries,Precious Metals
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.8851,-0.0887,-9.109%,172513234.00,Canada,,254896,Basic Industries,Precious Metals
TKAT,Takung Art Co. Ltd. Common Stock,$6.78,0.48,7.619%,84064359.00,,,1725610,Consumer Services,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,$1.07,0.05,4.902%,39422058.00,United States,2015,980991,Health Care,Major Pharmaceuticals
TMP,Tompkins Financial Corporation Common Stock,$78.32,-0.82,-1.036%,1154823309.00,United States,,17112,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$2.03,-0.09,-4.245%,293226365.00,Canada,,423952,Basic Industries,Precious Metals
TPHS,Trinity Place Holdings Inc. Common Stock,$2.28,0.01,0.441%,73998695.00,,,14344,Consumer Services,Real Estate
TRT,Trio-Tech International Common Stock,$4.34,0.02,0.463%,16982659.00,United States,,27363,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.43,0.001,0.233%,109594339.00,Canada,,1059066,Basic Industries,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$0.99,0.0346,3.622%,105190550.00,United States,,2865943,Energy,Agricultural Chemicals
UAVS,AgEagle Aerial Systems Inc. Common Stock,$4.27,0.26,6.484%,294442658.00,United States,,1847679,Miscellaneous,Miscellaneous
UEC,Uranium Energy Corp. Common Stock,$2.17,-0.03,-1.364%,506149024.00,Canada,,1530830,Basic Industries,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$2.72,0.06,2.256%,26599280.00,United States,2015,4594,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.14,-0.05,-4.202%,222764029.00,Canada,,1210129,Basic Industries,Other Metals and Minerals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$1.29,-0.03,-2.273%,171687972.00,,2017,1601129,Basic Industries,Precious Metals
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$35.52,-0.13,-0.365%,2112217046.00,United States,2004,170597,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$6.18,-0.03,-0.483%,14293642.00,United States,,55653,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$5.28,0.01,0.19%,785022939.00,,,1402782,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$14.9242,-0.0758,-0.505%,72189848.00,United States,1993,1830,Finance,Finance/Investors Services
VFL,Delaware Investments National Municipal Income Fund Common Stock,$14.43,0.08,0.557%,65345432.00,United States,1993,3942,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.8378,0.0028,0.335%,98175555.00,United States,,330283,Basic Industries,Precious Metals
VHAQ,Viveon Health Acquisition Corp. Common Stock,$9.94,0.00,0.00%,250053125.00,,2021,765,Finance,Finance: Consumer Services
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$12.35,0.01,0.081%,548235655.00,United States,,51947,Finance,Finance Companies
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$14.20,0.05,0.353%,163370645.00,United States,1993,11611,Finance,Finance/Investors Services
VNRX,VolitionRX Limited Common Stock,$3.16,-0.01,-0.315%,167140973.00,Singapore,2015,71725,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VOLT,Volt Information Sciences Inc. Common Stock,$4.93,-0.11,-2.183%,107161315.00,United States,,167667,Consumer Services,Movies/Entertainment
WLMS,Williams Industrial Services Group Inc. Common Stock,$4.77,0.02,0.421%,123523925.00,,2021,49528,Capital Goods,Oilfield Services/Equipment
WRN,Western Copper and Gold Corporation Common Stock,$1.68,-0.10,-5.618%,252463890.00,Canada,2011,367405,Basic Industries,Precious Metals
WTT,Wireless Telecom Group  Inc. Common Stock,$2.56,0.01,0.392%,55450414.00,United States,,29688,Capital Goods,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$4.16,0.09,2.211%,134519070.00,United States,,825720,Basic Industries,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$6.75,-0.07,-1.026%,61231626.00,United States,,76553,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.5865,-0.0035,-0.593%,34277269.00,United States,,167538,Basic Industries,Metal Mining Services
XTNT,Xtant Medical Holdings Inc. Common Stock,$1.35,0.03,2.273%,117054836.00,United States,,293591,Health Care,Medical Specialities
XXII,22nd Century Group Inc. Common Stock,$3.67,0.14,3.966%,597239223.00,United States,,1226266,Consumer Non-Durables,Farming/Seeds/Milling
YCBD,cbdMD Inc. Common Stock,$2.31,0.06,2.667%,131595075.00,United States,2017,190054,Consumer Non-Durables,Package Goods/Cosmetics
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$7.02,-0.03,-0.426%,,United States,,11262,,
ZDGE,Zedge Inc. Class B Common Stock ,$16.95,0.09,0.534%,240461870.00,,2016,99959,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$0.58,-0.01,-1.695%,567132024.00,United States,2017,20451198,Consumer Durables,Major Pharmaceuticals
